,state,coc,new_homeless,existing,return_from_PH,total_count,exit_to_unknown,total_exiting_to_PH,remain,total_exiting,%_successful_exit
0,AK,Anchorage CoC,3321,2095.0,209.0,5625.0,4202.0,496.0,927.0,4698.0,9.471774193548388
1,AK,Alaska Balance of State CoC,1480,395.0,378.0,2253.0,1702.0,345.0,206.0,2047.0,5.933333333333334
2,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1983,513.0,294.0,2790.0,2001.0,689.0,100.0,2690.0,3.9042089985486212
3,AL,Mobile City & County/Baldwin County CoC,1142,451.0,56.0,1649.0,1220.0,435.0,-6.0,1655.0,3.8045977011494254
4,AL,Florence/Northwest Alabama CoC,122,106.0,0.0,228.0,124.0,191.0,-87.0,315.0,1.649214659685864
5,AL,Huntsville/North Alabama CoC,814,277.0,63.0,1154.0,815.0,244.0,95.0,1059.0,4.340163934426229
6,AL,Montgomery City & County CoC,657,88.0,40.0,785.0,136.0,44.0,605.0,180.0,4.090909090909091
7,AL,Tuscaloosa City & County CoC,126,4.0,0.0,130.0,80.0,46.0,4.0,126.0,2.739130434782609
8,AL,Alabama Balance of State CoC,91,-12.0,2.0,81.0,48.0,23.0,10.0,71.0,3.0869565217391304
9,AR,Little Rock/Central Arkansas CoC,742,33.0,121.0,896.0,724.0,246.0,-74.0,970.0,3.9430894308943087
10,AR,Fayetteville/Northwest Arkansas CoC,634,102.0,3.0,739.0,531.0,126.0,82.0,657.0,5.214285714285714
11,AR,Arkansas  Balance of State  CoC,383,550.0,66.0,999.0,226.0,130.0,643.0,356.0,2.7384615384615385
12,AR,Southeast Arkansas CoC,53,27.0,2.0,82.0,55.0,17.0,10.0,72.0,4.235294117647059
13,AR,Fort Smith CoC,608,304.0,17.0,929.0,677.0,87.0,165.0,764.0,8.781609195402298
14,AZ,Arizona Balance of State CoC,3682,-195.0,399.0,3886.0,2665.0,2229.0,-1008.0,4894.0,2.195603409600718
15,AZ,Tucson/Pima County CoC,2873,26.0,671.0,3570.0,1556.0,1869.0,145.0,3425.0,1.8325307651150349
16,AZ,"Phoenix, Mesa/Maricopa County CoC",8800,2177.0,1935.0,12912.0,5284.0,4795.0,2833.0,10079.0,2.101981230448384
17,CA,San Jose/Santa Clara City & County CoC,3400,2460.0,517.0,6377.0,3500.0,1671.0,1206.0,5171.0,3.0945541591861163
18,CA,San Francisco CoC,807,7407.0,179.0,8393.0,600.0,447.0,7346.0,1047.0,2.3422818791946307
19,CA,"Oakland, Berkeley/Alameda County CoC",2626,2360.0,352.0,5338.0,2256.0,1237.0,1845.0,3493.0,2.8237671786580436
